0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,1,1,2,2,2,2,2,2,3,3,3,1,1,1,2
0,0,0,0,0,0,0,0,0,3,3,3,1,1,1,2,2,2,2,2,2,3,3,3,1,1,1,3,3,3,1,1,1,2,2,2,1
0,0,0,1,1,1,3,3,3,0,0,0,1,1,1,3,3,3,0,0,0,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,5
0,0,0,1,1,1,3,3,3,1,1,1,3,3,3,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,1,1,1,3,3,3,4
0,0,0,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,0,0,0,1,1,1,3,3,3,0,0,0,3
0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,7
0,0,0,2,2,2,1,1,1,1,1,1,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,0,0,0,2,2,2,1,1,1,8
0,0,0,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,6
0,1,3,0,3,2,3,1,2,0,3,2,0,1,3,1,0,2,0,2,1,3,1,2,0,3,2,2,3,1,2,1,0,1,3,0,9
0,1,3,0,3,2,3,1,2,2,0,3,1,3,0,2,1,0,2,1,0,2,3,1,3,2,0,1,2,3,1,0,2,0,1,3,11
0,1,3,0,3,2,3,1,2,3,2,0,3,0,1,0,2,1,1,0,2,1,2,3,2,0,3,3,1,2,0,2,1,3,0,1,10
0,1,3,2,0,3,2,3,1,0,2,1,2,3,1,2,0,3,1,2,3,2,1,0,3,0,1,3,2,0,1,3,0,1,0,2,14
0,1,3,2,0,3,2,3,1,1,0,2,3,1,2,3,2,0,2,3,1,0,2,1,0,1,3,0,3,2,3,0,1,2,1,0,13
0,1,3,2,0,3,2,3,1,2,1,0,1,2,3,0,3,2,3,1,2,1,0,2,1,3,0,2,0,3,0,1,3,0,2,1,12
0,1,3,3,2,0,1,2,3,1,2,3,0,2,1,1,3,0,2,0,3,3,0,1,1,0,2,2,1,0,3,1,2,2,0,3,17
0,1,3,3,2,0,1,2,3,2,3,1,1,0,2,3,0,1,3,2,0,0,1,3,2,1,0,1,0,2,2,3,1,0,3,2,16
