0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3
0,0,1,1,3,3,2,2,0,0,1,1,3,3,2,2,0,0,1,1,3,3,2,2,0,0,1,1,3,3,2,2,5
0,0,1,1,3,3,2,2,1,1,0,0,2,2,3,3,2,2,3,3,1,1,0,0,3,3,2,2,0,0,1,1,7
0,0,1,1,3,3,2,2,2,2,3,3,1,1,0,0,3,3,2,2,0,0,1,1,1,1,0,0,2,2,3,3,6
0,0,1,1,3,3,2,2,3,3,2,2,0,0,1,1,1,1,0,0,2,2,3,3,2,2,3,3,1,1,0,0,4
0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,8
0,1,2,3,0,1,2,3,1,0,3,2,1,0,3,2,2,3,0,1,2,3,0,1,3,2,1,0,3,2,1,0,9
0,1,2,3,0,1,2,3,2,3,0,1,2,3,0,1,3,2,1,0,3,2,1,0,1,0,3,2,1,0,3,2,10
0,1,2,3,0,1,2,3,3,2,1,0,3,2,1,0,1,0,3,2,1,0,3,2,2,3,0,1,2,3,0,1,11
0,1,3,2,3,2,0,1,0,1,3,2,3,2,0,1,0,1,3,2,3,2,0,1,0,1,3,2,3,2,0,1,13
0,1,3,2,3,2,0,1,1,0,2,3,2,3,1,0,2,3,1,0,1,0,2,3,3,2,0,1,0,1,3,2,14
0,1,3,2,3,2,0,1,2,3,1,0,1,0,2,3,3,2,0,1,0,1,3,2,1,0,2,3,2,3,1,0,15
0,1,3,2,3,2,0,1,3,2,0,1,0,1,3,2,1,0,2,3,2,3,1,0,2,3,1,0,1,0,2,3,12
0,2,0,2,1,3,1,3,0,2,0,2,1,3,1,3,0,2,0,2,1,3,1,3,0,2,0,2,1,3,1,3,19
0,2,0,2,1,3,1,3,1,3,1,3,0,2,0,2,2,0,2,0,3,1,3,1,3,1,3,1,2,0,2,0,16
0,2,0,2,1,3,1,3,2,0,2,0,3,1,3,1,3,1,3,1,2,0,2,0,1,3,1,3,0,2,0,2,17
0,2,0,2,1,3,1,3,3,1,3,1,2,0,2,0,1,3,1,3,0,2,0,2,2,0,2,0,3,1,3,1,18
0,2,1,3,2,0,3,1,0,2,1,3,2,0,3,1,0,2,1,3,2,0,3,1,0,2,1,3,2,0,3,1,20
0,2,1,3,2,0,3,1,1,3,0,2,3,1,2,0,2,0,3,1,0,2,1,3,3,1,2,0,1,3,0,2,21
