0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,2,2,1,1,2,2,1
0,0,1,1,0,0,1,1,2,2,2,2,2
0,0,1,1,2,2,2,2,0,0,1,1,3
0,1,0,2,0,2,1,2,2,1,0,1,4
0,1,0,2,2,0,2,1,1,2,1,0,5
0,1,2,0,1,2,0,1,2,0,1,2,6
0,1,2,0,2,1,1,0,0,2,2,1,7
0,2,1,2,1,2,1,0,1,0,2,0,8
0,2,1,2,2,1,0,1,0,1,0,2,9
0,2,2,1,0,1,2,0,2,1,1,0,10
0,2,2,1,1,0,0,2,1,2,0,1,11
1,0,0,2,1,2,0,1,0,2,2,1,10
1,0,0,2,2,1,1,0,2,0,1,2,11
1,0,2,0,0,2,1,2,1,2,1,0,9
1,0,2,0,2,0,2,1,2,1,0,1,8
1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,2,2,0,0,2,2,0,0,1
1,1,2,2,0,0,0,0,1,1,2,2,3
1,1,2,2,1,1,2,2,0,0,0,0,2
1,2,0,1,0,2,2,1,1,0,0,2,7
1,2,0,1,2,0,1,2,0,1,2,0,6
1,2,1,0,0,1,0,2,2,0,2,1,5
1,2,1,0,1,0,2,0,0,2,1,2,4
2,0,1,2,0,1,2,0,1,2,0,1,6
2,0,1,2,1,0,0,2,2,1,1,0,7
2,0,2,1,1,2,1,0,0,1,0,2,5
2,0,2,1,2,1,0,1,1,0,2,0,4
2,1,0,1,0,1,0,2,0,2,1,2,8
2,1,0,1,1,0,2,0,2,0,2,1,9
2,1,1,0,0,2,2,1,0,1,2,0,11
2,1,1,0,2,0,1,2,1,0,0,2,10
2,2,0,0,1,1,1,1,2,2,0,0,3
2,2,0,0,2,2,0,0,1,1,1,1,2
2,2,2,2,0,0,1,1,0,0,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,0
