0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,10
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,12
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21
0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,5
0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,5,17
0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,3,18
0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,5,9
0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,3,7
0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,4,14
0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,4,4
0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,4,20
0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,5,13
0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,2,3
0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,5
0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,9
0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,4,21
0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,2,19
0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,3,6
0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,5,8
0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,2,15
0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,4,10
0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,2,17
0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,5,7
0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,2,14
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,4,2
0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,3,9
0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,5,18
0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,16
0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,8
0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,2,2
0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,4
0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,12
0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,2,11
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,20
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,6
0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,13
0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,2,18
0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,3,11
0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,4,15
0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,5,5
0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,4,11
