0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,1,1,1
0,0,1,1,1,1
0,0,1,1,0,1
0,0,1,0,0,2
0,0,1,0,1,2
0,1,0,1,1,2
0,1,0,0,0,3
0,1,0,0,1,3
0,1,0,1,0,3
0,1,1,1,1,4
0,1,1,1,0,4
0,1,1,0,1,4
0,1,1,0,0,5
1,0,0,0,0,5
1,0,0,0,1,5
1,0,0,1,1,6
1,0,0,1,0,6
1,0,1,0,0,6
1,0,1,1,1,7
1,0,1,1,0,7
1,0,1,0,1,7
1,1,0,0,1,8
1,1,0,0,0,8
1,1,0,1,1,8
1,1,0,1,0,9
1,1,1,1,0,9
1,1,1,1,1,9
1,1,1,0,1,10
1,1,1,0,0,10
2,0,0,1,0,10
2,0,0,0,1,11
2,0,0,0,0,11
2,0,0,1,1,11
2,0,1,1,0,12
2,0,1,1,1,12
2,0,1,0,0,12
2,0,1,0,1,13
2,1,0,0,1,13
2,1,0,0,0,13
2,1,0,1,0,14
2,1,0,1,1,14
2,1,1,0,1,14
2,1,1,1,0,15
2,1,1,1,1,15
2,1,1,0,0,15
