0,0,0,0,0,0
0,1,1,0,0,0
0,0,1,0,0,1
0,1,0,0,0,1
0,0,1,0,0,2
0,1,0,0,0,2
0,0,0,0,0,3
0,1,1,0,0,3
0,1,1,0,1,4
0,0,0,0,1,4
0,1,0,0,1,5
0,0,1,0,1,5
0,1,0,0,1,6
0,0,1,0,1,6
0,1,1,0,1,7
0,0,0,0,1,7
1,1,1,0,2,8
1,1,0,0,2,8
1,0,0,0,2,9
1,0,1,0,2,9
1,1,0,0,2,10
1,1,1,0,2,10
1,0,1,0,2,11
1,0,0,0,2,11
1,0,1,1,3,12
1,1,0,1,3,12
1,0,0,1,3,13
1,1,1,1,3,13
1,0,0,1,3,14
1,1,1,1,3,14
1,0,1,1,3,15
1,1,0,1,3,15
2,0,0,1,4,16
2,0,1,1,4,16
2,1,1,1,4,17
2,1,0,1,4,17
2,0,1,1,4,18
2,0,0,1,4,18
2,1,0,1,4,19
2,1,1,1,4,19
2,1,1,1,5,20
2,1,0,1,5,20
2,0,1,1,5,21
2,0,0,1,5,21
2,1,1,1,5,22
2,1,0,1,5,22
2,0,1,1,5,23
2,0,0,1,5,23
