0,0,0,2,3
0,0,2,0,0
0,0,4,2,0
0,0,6,1,1
0,0,8,1,2
0,0,10,0,4
0,0,12,4,6
0,0,14,3,8
0,0,16,3,6
0,0,18,1,1
0,0,20,4,3
0,0,22,2,4
0,0,24,0,5
0,0,26,1,7
0,0,28,3,9
0,0,30,1,0
0,0,32,3,1
0,0,34,0,3
0,0,36,4,5
0,0,38,0,7
0,0,40,2,9
0,0,42,3,5
0,0,44,1,0
0,0,46,3,2
0,0,48,0,3
0,0,50,4,4
0,0,52,2,6
0,0,54,1,8
0,0,56,2,5
0,0,58,1,0
0,0,60,0,2
0,0,62,4,4
0,0,64,4,6
0,0,66,3,8
0,0,68,2,9
0,1,1,0,0
0,1,3,4,2
0,1,5,3,2
0,1,7,1,4
0,1,9,2,6
0,1,11,1,8
0,1,13,3,1
0,1,15,1,2
0,1,17,4,3
0,1,19,4,5
0,1,21,2,7
0,1,23,0,9
0,1,25,4,1
0,1,27,1,3
0,1,29,3,4
0,1,31,2,5
0,1,33,0,7
0,1,35,2,9
0,1,37,4,8
0,1,39,3,7
0,1,41,0,1
0,1,43,0,0
0,1,45,2,2
0,1,47,2,4
0,1,49,1,6
0,1,51,4,6
0,1,53,3,8
0,1,55,0,7
0,1,57,3,8
0,1,59,0,1
0,1,61,3,3
0,1,63,1,5
0,1,65,4,7
0,1,67,4,9
0,1,69,2,9
1,0,1,4,9
1,0,3,4,1
1,0,5,2,3
1,0,7,0,5
1,0,9,3,7
1,0,11,3,8
1,0,13,1,9
1,0,15,4,0
1,0,17,3,2
1,0,19,2,4
1,0,21,0,6
1,0,23,1,7
1,0,25,0,8
1,0,27,2,6
1,0,29,4,0
1,0,31,1,1
1,0,33,0,2
1,0,35,0,4
1,0,37,3,6
1,0,39,2,8
1,0,41,2,1
1,0,43,0,3
1,0,45,3,5
1,0,47,3,7
1,0,49,1,7
1,0,51,4,9
1,0,53,2,1
1,0,55,4,3
1,0,57,1,5
1,0,59,0,7
1,0,61,3,8
1,0,63,4,9
1,0,65,2,4
1,0,67,4,2
1,0,69,1,2
1,1,0,4,9
1,1,2,2,0
1,1,4,2,2
1,1,6,4,4
1,1,8,3,5
1,1,10,1,6
1,1,12,0,8
1,1,14,1,3
1,1,16,0,1
1,1,18,2,3
1,1,20,4,5
1,1,22,3,5
1,1,24,1,7
1,1,26,3,9
1,1,28,0,0
1,1,30,1,4
1,1,32,3,0
1,1,34,2,2
1,1,36,1,4
1,1,38,3,6
1,1,40,0,6
1,1,42,4,8
1,1,44,1,1
1,1,46,1,0
1,1,48,0,0
1,1,50,3,2
1,1,52,2,4
1,1,54,0,6
1,1,56,4,8
1,1,58,3,1
1,1,60,0,3
1,1,62,2,3
1,1,64,1,5
1,1,66,4,7
1,1,68,2,9
