0,0,0,0,0,0,0,0
0,1,6,3,8,4,1,2
0,2,8,6,1,11,2,1
0,3,2,1,11,10,3,5
0,4,7,9,5,2,4,4
0,5,1,11,9,7,5,3
0,6,9,2,3,8,6,7
0,7,11,8,10,6,7,8
0,8,4,5,2,9,8,6
0,9,10,4,7,1,9,9
0,10,5,7,6,3,10,11
0,11,3,10,4,5,11,10
1,0,2,6,10,8,5,14
1,1,1,1,1,1,0,13
1,2,7,4,9,5,1,12
1,3,9,7,2,6,2,17
1,4,3,2,6,11,3,16
1,5,8,10,0,3,4,15
1,6,4,11,5,0,11,19
1,7,10,3,4,9,6,20
1,8,6,9,11,7,7,18
1,9,5,0,3,10,8,23
1,10,11,5,8,2,9,21
1,11,0,8,7,4,10,22
2,0,9,11,1,4,4,25
2,1,3,7,11,9,5,26
2,2,2,2,2,2,0,24
2,3,8,5,10,0,1,27
2,4,10,8,3,7,2,28
2,5,4,3,7,6,3,29
2,6,1,9,8,5,10,32
2,7,5,6,0,1,11,31
2,8,11,4,5,10,6,30
2,9,7,10,6,8,7,35
2,10,0,1,4,11,8,33
2,11,6,0,9,3,9,34
3,0,5,4,8,7,3,9
3,1,10,6,2,5,4,10
3,2,4,8,6,10,5,11
3,3,3,3,3,3,0,17
3,4,9,0,11,1,1,15
3,5,11,9,4,8,2,16
3,6,7,1,10,4,9,13
3,7,2,10,9,0,10,14
3,8,0,7,1,2,11,12
3,9,6,5,0,11,6,4
3,10,8,11,7,9,7,5
3,11,1,2,5,6,8,3
4,0,6,10,5,9,2,0
4,1,0,5,9,8,3,1
4,2,11,7,3,0,4,2
4,3,5,9,7,11,5,8
4,4,4,4,4,4,0,7
4,5,10,1,6,2,1,6
4,6,2,3,0,7,8,31
4,7,8,2,11,5,9,32
4,8,3,11,10,1,10,30
4,9,1,8,2,3,11,28
4,10,7,0,1,6,6,27
4,11,9,6,8,10,7,29
5,0,11,2,7,3,1,35
5,1,7,11,0,10,2,34
5,2,1,0,10,9,3,33
5,3,6,8,4,1,4,19
5,4,0,10,8,6,5,18
5,5,5,5,5,5,0,20
5,6,10,7,9,11,7,25
5,7,3,4,1,8,8,24
5,8,9,3,6,0,9,26
5,9,4,6,11,2,10,21
5,10,2,9,3,4,11,23
5,11,8,1,2,7,6,22
6,0,3,8,9,2,6,22
6,1,5,2,4,0,7,23
6,2,10,11,8,3,8,21
6,3,4,10,1,7,9,26
6,4,11,1,0,9,10,24
6,5,9,4,10,11,11,25
6,6,6,6,6,6,0,20
6,7,0,9,2,10,1,18
6,8,2,0,7,5,2,19
6,9,8,7,5,4,3,33
6,10,1,3,11,8,4,34
6,11,7,5,3,1,5,35
7,0,10,5,11,6,11,29
7,1,4,9,10,3,6,27
7,2,0,3,5,1,7,28
7,3,11,6,9,4,8,30
7,4,5,11,2,8,9,32
7,5,6,2,1,10,10,31
7,6,8,0,4,2,5,6
7,7,7,7,7,7,0,7
7,8,1,10,3,11,1,8
7,9,3,1,8,0,2,2
7,10,9,8,0,5,3,1
7,11,2,4,6,9,4,0
8,0,7,3,2,11,10,3
8,1,11,0,6,7,11,5
8,2,5,10,11,4,6,4
8,3,1,4,0,2,7,12
8,4,6,7,10,5,8,14
8,5,0,6,3,9,9,13
8,6,3,5,7,10,4,16
8,7,9,1,5,3,5,15
8,8,8,8,8,8,0,17
8,9,2,11,4,6,1,11
8,10,4,2,9,1,2,10
8,11,10,9,1,0,3,9
9,0,1,7,4,10,9,34
9,1,8,4,3,6,10,33
9,2,6,1,7,8,11,35
9,3,0,11,6,5,6,30
9,4,2,5,1,3,7,31
9,5,7,8,11,0,8,32
9,6,11,10,2,1,3,29
9,7,4,0,8,11,4,28
9,8,10,2,0,4,5,27
9,9,9,9,9,9,0,24
9,10,3,6,5,7,1,26
9,11,5,3,10,2,2,25
10,0,8,9,6,1,8,22
10,1,2,8,5,11,9,21
10,2,9,5,4,7,10,23
10,3,7,2,8,9,11,18
10,4,1,6,7,0,6,20
10,5,3,0,2,4,7,19
10,6,0,4,11,3,2,15
10,7,6,11,3,2,3,16
10,8,5,1,9,6,4,17
10,9,11,3,1,5,5,12
10,10,10,10,10,10,0,13
10,11,4,7,0,8,1,14
11,0,4,1,3,5,7,10
11,1,9,10,7,2,8,11
11,2,3,9,0,6,9,9
11,3,10,0,5,8,10,6
11,4,8,3,9,10,11,8
11,5,2,7,8,1,6,7
11,6,5,8,1,9,1,3
11,7,1,5,6,4,2,4
11,8,7,6,4,3,3,5
11,9,0,2,10,7,4,1
11,10,6,4,2,0,5,2
11,11,11,11,11,11,0,0
