0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,2,1,2,1,0,0,1,2,0,1,2,1,0,2,2,1,1,0,0,2,2,2,1,1,2,1,0,1,1,0,1,0,2,0,12
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,2,0,2,1,1,2,0,1,2,0,2,1,0,0,2,2,1,1,0,0,0,2,2,0,2,1,2,2,1,2,1,0,1,12
0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,0,1,0,2,2,0,1,2,0,1,0,2,1,1,0,0,2,2,1,1,1,0,0,1,0,2,0,0,2,0,2,1,2,12
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,0,2,0,2,1,2,2,1,1,2,1,0,1,0,1,0,2,1,2,0,0,2,1,2,2,2,1,2,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,1,1,0,1,0,2,0,0,2,2,0,2,1,2,1,2,1,0,2,0,1,1,0,2,0,0,0,2,0,2,1,2,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,2,2,1,2,1,0,1,1,0,0,1,0,2,0,2,0,2,1,0,1,2,2,1,0,1,1,1,0,1,0,2,0,0
0,0,0,1,0,0,1,0,2,1,0,1,0,1,2,2,0,0,1,1,1,1,0,0,0,0,1,1,2,2,2,0,0,1,1,1,1,2,2,2,2,2,2,2,0,1,1,0,0,1,1,6
0,0,0,1,0,0,1,0,2,1,0,1,0,1,0,0,1,1,2,2,2,2,1,1,1,1,2,2,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,1,2,2,1,1,2,2,6
0,0,0,1,0,0,1,0,2,1,0,1,0,1,1,1,2,2,0,0,0,0,2,2,2,2,0,0,1,1,1,2,2,0,0,0,0,1,1,1,1,1,1,1,2,0,0,2,2,0,0,6
0,0,0,1,0,0,1,0,11,1,1,0,1,0,0,2,2,1,0,1,2,0,1,0,2,0,2,0,1,1,2,0,1,0,2,2,1,1,0,1,0,2,2,1,2,0,1,1,0,2,0,18
0,0,0,1,0,0,1,0,11,1,1,0,1,0,1,0,0,2,1,2,0,1,2,1,0,1,0,1,2,2,0,1,2,1,0,0,2,2,1,2,1,0,0,2,0,1,2,2,1,0,1,18
0,0,0,1,0,0,1,0,11,1,1,0,1,0,2,1,1,0,2,0,1,2,0,2,1,2,1,2,0,0,1,2,0,2,1,1,0,0,2,0,2,1,1,0,1,2,0,0,2,1,2,18
