0,0,0,7,12,0
1,0,0,9,27,0
1,1,0,6,14,0
0,0,0,1,23,0
0,1,1,7,25,0
1,0,0,3,0,0
0,1,1,5,17,1
1,1,0,4,1,1
1,1,0,10,16,1
0,0,1,8,33,0
1,1,1,7,28,1
1,1,0,11,20,0
0,0,0,11,9,0
0,0,1,5,22,0
0,0,1,2,23,1
0,0,0,0,15,1
1,0,1,9,2,1
0,1,1,7,3,1
0,1,0,4,24,1
0,1,0,11,32,0
0,0,0,7,33,1
1,1,0,11,1,0
0,1,0,6,19,0
1,0,1,8,35,1
1,0,1,2,10,1
1,1,1,2,21,1
1,1,0,9,5,0
0,0,0,10,16,1
1,0,1,1,11,0
1,0,1,4,25,1
1,1,1,4,9,0
1,0,1,11,7,1
1,0,1,0,4,0
0,0,0,4,35,0
0,0,0,0,15,0
1,1,0,10,29,1
1,1,0,5,8,0
1,1,0,2,11,1
1,0,0,1,8,0
0,1,1,6,26,1
0,1,1,3,13,0
1,0,1,1,22,0
0,1,1,11,0,0
1,0,1,9,18,0
1,0,1,3,14,0
0,0,0,0,27,0
0,0,1,3,2,0
1,1,0,3,28,0
0,1,1,0,19,1
0,0,0,6,34,1
0,1,0,9,26,1
1,0,0,10,32,1
1,1,0,8,34,1
1,1,0,3,10,1
1,1,1,1,31,0
1,0,1,10,3,1
0,0,0,8,5,1
0,1,1,5,20,0
1,1,1,10,4,0
0,1,1,9,30,0
1,0,1,5,6,1
0,1,1,0,13,0
0,0,0,1,24,1
1,1,1,2,6,1
0,1,0,7,12,1
1,0,1,8,7,1
0,0,0,6,30,1
0,0,1,8,18,0
0,1,0,2,31,1
0,0,0,6,17,1
1,1,1,5,29,0
0,1,1,4,21,1
