0,0,0,0,32,2
1,1,1,0,32,2
0,1,2,0,21,2
0,0,0,1,4,0
1,0,2,2,0,3
1,1,0,2,30,3
0,0,1,0,5,3
1,1,2,1,2,2
0,1,0,1,22,2
0,0,2,2,16,2
1,0,2,2,9,2
1,0,0,0,15,3
0,0,1,0,28,3
0,1,2,0,33,1
1,1,0,1,8,1
0,1,0,1,21,0
0,0,1,2,9,3
1,0,0,2,25,2
1,1,2,0,8,2
0,1,2,0,12,3
0,1,1,1,0,3
1,0,0,1,27,1
1,1,0,2,20,3
1,0,0,1,25,3
0,1,1,1,27,1
1,0,2,2,26,2
0,0,0,2,30,1
1,0,2,0,15,1
1,0,0,2,11,1
1,1,1,1,26,1
1,1,2,1,19,1
0,1,0,2,1,2
1,1,1,0,2,1
1,0,0,1,19,0
0,0,2,2,24,0
1,0,2,0,13,0
1,0,1,1,3,2
0,0,2,2,14,0
0,0,2,2,31,2
0,1,2,1,35,0
0,0,1,1,29,1
1,1,0,2,16,1
0,0,1,0,17,3
0,1,2,2,34,3
0,1,2,1,29,1
1,1,1,2,35,2
1,1,0,0,5,0
1,1,0,0,12,2
1,1,1,2,34,0
0,0,0,2,23,0
1,1,1,0,17,1
1,0,0,2,6,2
0,0,2,0,10,2
0,0,0,2,22,3
1,1,2,1,4,2
0,1,0,0,24,1
0,1,0,1,1,3
0,0,1,1,10,0
1,0,0,0,20,0
0,1,1,0,11,1
0,1,2,0,6,0
1,1,1,2,7,1
0,0,1,0,3,1
1,1,2,0,28,0
1,0,1,1,23,0
1,1,1,0,33,3
0,0,1,2,13,3
1,1,1,1,14,0
0,0,2,1,18,3
0,1,1,2,31,0
0,0,2,1,18,0
1,0,1,1,7,3
