0,0,2,2
0,0,3,1
1,0,4,3
0,0,1,9
0,1,3,10
1,0,4,4
0,1,5,6
1,0,2,8
1,0,5,10
1,1,1,11
1,0,5,2
1,1,0,10
1,0,1,11
1,1,3,6
0,0,4,6
0,1,0,3
1,0,5,4
1,1,0,11
0,1,4,11
1,1,2,9
0,0,0,3
0,0,5,8
0,1,0,5
1,1,0,8
1,1,4,8
1,0,3,0
0,0,1,9
0,0,5,6
1,1,3,1
1,0,3,2
0,1,5,1
0,0,4,1
0,0,2,5
1,1,3,2
0,0,4,9
0,1,2,6
1,1,5,7
1,1,4,3
0,0,1,6
1,0,0,0
0,1,1,7
0,1,1,4
0,1,4,10
1,0,5,4
1,1,1,5
1,0,2,5
1,0,2,1
1,1,2,9
0,1,1,2
0,0,2,11
0,1,0,3
1,1,2,2
1,1,4,7
0,1,2,4
0,1,3,9
0,1,1,7
0,0,0,4
0,0,3,8
1,0,4,5
0,1,2,0
0,1,4,7
1,1,5,11
0,0,0,0
1,0,0,3
0,1,5,5
1,0,5,10
1,0,3,0
1,1,0,1
1,0,3,8
0,1,3,10
0,0,1,0
1,0,1,7
