0,0,1,15
1,1,1,19
0,1,1,20
0,0,1,12
1,1,1,7
0,0,1,13
1,0,0,5
0,1,1,17
0,0,0,27
1,0,1,24
0,1,1,14
0,0,0,25
0,0,0,29
1,0,1,0
1,1,1,23
1,0,1,1
1,1,0,26
0,1,0,33
1,0,1,14
0,0,1,12
1,1,0,9
1,0,1,32
1,0,0,28
1,0,0,31
0,0,1,17
0,0,1,16
0,1,1,4
1,1,0,15
1,0,0,35
0,1,1,2
1,1,1,22
0,1,0,20
0,0,0,29
0,1,0,0
1,0,0,23
1,0,0,11
1,1,1,22
0,1,0,6
0,1,0,28
1,1,0,30
0,1,0,24
1,0,1,34
0,0,1,19
1,1,0,27
1,0,0,10
1,0,1,10
1,0,0,5
0,0,0,18
0,0,0,26
0,1,1,18
1,1,1,31
1,1,1,3
1,1,0,21
0,0,0,1
1,0,0,11
1,1,0,21
0,1,0,13
1,0,1,33
1,1,0,32
1,1,1,25
1,0,1,9
1,1,1,16
0,0,0,34
0,1,0,8
1,1,0,30
0,1,1,35
0,0,1,2
0,0,1,4
0,1,0,8
0,1,0,3
0,0,1,7
0,1,1,6
