"140,2^23,20^1,35^1"	6246		6246	4500	1518	1300	1286	950	784	762	648	456	412	352	326	326	252	252	252	252	252	252	252	252	252	252	252	252	224	208	208	208	208	208	208	208	204	204	204	204	204	204	170	170	170	156	156	156	156	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	146	146	146	146	146	146	146	146	146	144	144	144	144	144	144	144	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142
"140,2^14,28^1,35^1,70^1,14^1,20^1"	6257		6257	4670	1942	1496	1300	964	800	784	762	488	456	412	336	336	326	326	326	312	312	312	312	312	312	312	312	312	252	224	224	224	224	224	224	224	208	208	208	208	208	208	204	204	204	170	170	170	170	170	170	170	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	148	148	148	148	148	148	148	146	146	146	146	146	146	146	144	144	144	144	144	144	144	144	144	144	144	142	142	142	142	142	142	142	142	142	142	142	142	142
"140,28^1,2^24,14^1,5^1"	6384		6384	4710	2584	1518	1456	992	820	800	784	520	488	434	352	352	336	336	332	326	326	320	320	320	320	320	320	320	312	252	252	252	252	252	252	252	224	224	224	224	224	224	208	208	208	204	204	204	204	204	204	204	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	154	154	154	154	154	154	154	154	154	154	154	154	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	146	146	146	146	146	146	146	146	146	146	146	144	144	144	144	144	144	144	144	144	144	144	144	144
"140,2^25,20^1,10^1"	6658		6658	4817	2840	1942	1496	1110	950	820	800	580	580	456	412	412	352	352	336	332	332	332	332	332	332	332	332	332	320	312	312	312	312	312	268	268	252	252	252	252	252	252	224	224	224	208	208	208	208	208	208	208	188	188	188	188	188	188	188	188	188	188	188	188	172	172	172	172	172	172	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	168	168	168	168	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	150	150	150	150	150	150	150	150	144	144	144	144	144	144	144	144	144	144	144	144
"140,2^10,7^1,5^3,35^2,10^1,14^1"	6734		6734	4854	3249	2158	1518	1138	964	950	820	648	648	488	434	434	412	412	352	336	336	336	336	336	336	336	336	336	332	320	320	320	320	320	312	312	268	268	268	268	268	268	252	252	252	224	224	224	224	224	224	224	204	204	204	204	204	204	204	204	204	204	204	204	188	188	188	188	188	188	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	170	170	170	170	170	170	170	170	170	170	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152
"140,2^16,4^1,10^2,35^1,7^2,20^1"	6995		6995	4958	3540	2480	1942	1286	992	964	950	762	762	580	456	456	434	434	412	352	352	352	352	352	352	352	352	352	336	332	332	332	332	332	320	320	312	312	292	292	292	292	268	268	268	252	252	252	252	252	252	252	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
"140,2^23,10^1,20^1,35^1"	7752		7752	5446	3686	2584	2158	1300	1110	992	964	784	784	648	480	480	456	436	434	412	412	412	412	412	412	412	412	368	352	336	336	336	336	336	332	332	320	320	312	312	312	312	292	292	292	268	268	268	268	268	268	268	236	236	236	236	236	224	224	224	224	224	224	224	224	224	224	224	224	224	224	208	208	208	208	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	204	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156	156
"140,2^26,70^1,20^1,4^2,7^1"	7975		7975	5884	4170	2840	2302	1456	1138	1110	992	800	800	762	488	488	480	456	436	434	434	434	434	434	430	430	430	412	368	352	352	352	352	352	336	336	332	332	320	320	320	320	312	312	312	292	292	292	292	292	292	290	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	216	216	216	198	198	198	198	198	198	198	198	198	198	198	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	186	172	172	172	172	172	172	172	172	172	170	170	170	170	170	170	170	170	170	170	170
"140,2^30,70^1,4^1,14^1,7^1"	8400		8400	6179	4246	3249	2480	1496	1286	1138	1110	820	820	784	580	580	488	480	456	436	436	436	436	436	436	436	436	430	412	368	368	368	368	368	352	352	336	336	332	332	332	332	320	320	320	312	312	312	312	312	312	292	290	290	290	290	290	290	290	290	290	290	290	290	290	290	290	290	290	290	252	252	252	252	252	252	252	252	252	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	224	224	224	224	224	224	224	224	224	224	224	224	224	224	224	218	218	218	216	216	216	216	216	216	216	216	216	216	216	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	186	186	186	186	186	186	186	186	186	172	172	172	172	172	172	172	172	172	172	172
"140,14^2,70^2,2^18,4^2,5^1"	8431		8431	6246	4500	3540	2584	1508	1300	1286	1138	924	924	800	648	648	580	488	480	456	456	456	456	456	456	456	456	436	430	412	412	412	400	400	368	368	352	352	336	336	336	336	328	328	328	320	316	316	316	316	316	312	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	290	290	290	290	290	290	290	290	290	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	250	244	244	244	244	244	244	244	244	244	244	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198
"140,14^1,70^2,4^3,20^1,5^2,2^3,28^2,7^1"	9099		9099	6257	4670	3686	2840	1518	1456	1300	1286	950	950	820	762	762	648	580	488	480	480	480	480	480	480	480	480	456	436	430	430	430	412	412	400	400	368	368	352	352	352	352	332	332	332	328	320	320	320	320	320	316	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	252	250	250	250	250	250	250	250	250	250	250	244	244	244	244	244	244	244	244	244	244	244	230	230	230	230	230	230	230	230	230	230	230	230	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	212	212	212	212	212	212	212	212
"140,28^1,2^24,4^1,20^1,14^1,70^1,7^1"	9105		9105	6384	4710	3714	3028	1726	1496	1380	1292	992	992	896	784	784	760	588	580	488	488	488	488	488	488	488	488	480	456	436	436	436	412	412	412	412	400	400	368	368	368	368	336	336	336	332	328	328	328	328	328	328	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	312	294	294	294	294	294	294	294	294	294	292	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	276	252	252	252	252	252	252	252	252	252	252	250	250	250	250	250	250	250	250	250	250	250	244	244	244	240	240	240	240	240	240	240	240	240	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	216	216	216	216	216	216	216	216
"140,14^1,4^2,2^3,70^1,20^3,7^1,5^3,35^1"	9444		9444	6510	4776	4164	3249	1942	1508	1456	1300	1110	1110	924	800	800	762	648	588	580	580	580	580	580	580	580	580	488	480	456	456	456	430	430	412	412	412	412	396	396	396	396	352	352	352	336	332	332	332	332	332	332	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	316	294	292	292	292	292	292	292	292	292	292	292	292	292	292	292	292	280	280	280	276	276	276	276	276	276	276	276	276	276	252	252	252	252	252	252	252	252	252	252	252	252	252	252	244	244	244	244	244	244	244	244	244	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	230	230	230	230	230	230	230	230
